 [ 2025-3-7 16:12:13 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 1 handler a task ] 
 [ 2025-3-7 16:12:13 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 86 ]  [ send translation success ] 
 [ 2025-3-7 16:12:13 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 65 ]  [ socket is runing ] 
 [ 2025-3-7 16:12:13 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:13 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 83 ]  [ Server receive a word from ÀP}1þ:54735 a ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 3 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 1 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 86 ]  [ send translation success ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 65 ]  [ socket is runing ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 2 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 83 ]  [ Server receive a word from ÀP}1þ:54735 a ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:15 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 86 ]  [ send translation success ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 65 ]  [ socket is runing ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:15 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 83 ]  [ Server receive a word from ÀP}1þ:54735 a ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 86 ]  [ send translation success ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 65 ]  [ socket is runing ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 83 ]  [ Server receive a word from ÀP}1þ:54735 a ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 3 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 3 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 3 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 3 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 3 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 91 ]  [ thread - 4 handler a task ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 86 ]  [ send translation success ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 65 ]  [ socket is runing ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpClient.cpp ] [ pid:71348 ] [ 32 ]  [ receive response ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ udpServer.hpp ] [ pid:71220 ] [ 83 ]  [ Server receive a word from ÀP}1þ:54735 aa ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
 [ 2025-3-7 16:12:16 ] [ DEBUG ] [ threadPool.hpp ] [ pid:71220 ] [ 41 ]  [ get threadPool ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ threadPool.hpp ] [ pid:71220 ] [ 58 ]  [ enQueue sucess... ] 
 [ 2025-3-7 16:12:16 ] [ INFO ] [ messageRoute.hpp ] [ pid:71220 ] [ 43 ]  [ route received a message ] 
